timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543673036,41,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-5,,true,,428,809,20,20,null,41,3837,0
1614543676963,38,signinAccount,308,Permanent Redirect,JPetstore 1-19,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,37,0,0
1614543675824,73,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-19,,true,,798,1819,20,20,null,72,1104,0
1614543676963,39,signOff,308,Permanent Redirect,JPetstore 1-6,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,39,0,0
1614543677067,39,newOrderForm,308,Permanent Redirect,JPetstore 1-3,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,39,0,0
1614543677086,39,viewCatalog,308,Permanent Redirect,JPetstore 1-6,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,38,0,0
1614543673539,78,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-6,,true,,806,1609,20,20,null,77,3508,0
1614543677109,39,setBillingInfo,308,Permanent Redirect,JPetstore 1-16,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,39,0,0
1614543677125,80,homepage,308,Permanent Redirect,JPetstore 1-6,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,80,0,38
1614543677125,80,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-6,,true,,399,550,20,20,null,80,0,38
1614543677403,53,viewCategory,308,Permanent Redirect,JPetstore 1-14,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,53,0,0
1614543673566,53,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-14,,true,,428,809,20,20,null,53,3837,0
1614543677426,37,confirmOrder,308,Permanent Redirect,JPetstore 1-20,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,37,0,0
1614543665030,168,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-20,,false,,1658,3734,20,20,null,168,12266,0
1614543677485,42,signOff,308,Permanent Redirect,JPetstore 1-15,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,42,0,0
1614543677492,40,addItemToCart,308,Permanent Redirect,JPetstore 1-8,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,40,0,0
1614543677612,40,viewCatalog,308,Permanent Redirect,JPetstore 1-15,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,40,0,0
1614543674060,82,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-15,,true,,806,1609,20,20,null,82,3510,0
1614543677653,82,homepage,308,Permanent Redirect,JPetstore 1-15,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,81,0,41
1614543677652,82,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-15,,true,,399,550,20,20,null,81,1,41
1614543677705,38,newOrderForm,308,Permanent Redirect,JPetstore 1-12,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,38,0,0
1614543677788,41,signinForm,308,Permanent Redirect,JPetstore 1-6,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,41,0,0
1614543677206,41,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-6,,true,,410,791,20,20,null,41,583,0
1614543677935,35,viewCatalog,308,Permanent Redirect,JPetstore 1-6,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,35,0,0
1614543678114,50,addItemToCart,308,Permanent Redirect,JPetstore 1-17,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,50,0,0
1614543678317,42,signinForm,308,Permanent Redirect,JPetstore 1-15,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,42,0,0
1614543677735,42,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-15,,true,,410,791,20,20,null,42,582,0
1614543678464,33,viewCatalog,308,Permanent Redirect,JPetstore 1-15,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,32,0,0
1614543678972,39,signinAccount,308,Permanent Redirect,JPetstore 1-6,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,39,0,0
1614543677830,74,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-6,,true,,798,1819,20,20,null,74,1107,0
1614543679055,39,viewProduct,308,Permanent Redirect,JPetstore 1-9,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,39,0,0
1614543674168,39,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-9,,true,,430,841,20,20,null,39,4887,0
1614543679171,39,setBillingInfo,308,Permanent Redirect,JPetstore 1-3,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,39,0,0
1614543679486,36,confirmOrder,308,Permanent Redirect,JPetstore 1-7,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,36,0,0
1614543667102,156,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-7,,false,,1658,3734,20,20,null,156,12264,0
1614543679498,41,signinAccount,308,Permanent Redirect,JPetstore 1-15,text,true,,399,1001,20,20,http://petstore.octoperf.com/actions/Account.action,41,0,0
1614543678359,74,Signin,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-15,,true,,798,1819,20,20,null,73,1107,0
1614543679608,40,viewProduct,308,Permanent Redirect,JPetstore 1-18,text,true,,430,841,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewProduct&productId=K9-BD-01,40,0,0
1614543674719,40,ViewProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-18,,true,,430,841,20,20,null,40,4889,0
